"","ML1","ML5","ML6","ML2","ML8","ML9","ML3","ML4","ML7"
"custcat",0.879058777652686,0.27536712609385,0.0251026817435759,0.0797931156936034,0.185618165121966,0.0911999000974411,-0.0178866580016788,0.0732677869446973,-0.301626079702812
"tollfree",0.826639975995293,-0.014909228615371,0.0485174959728673,-0.0337377700122371,-0.0334172737563257,0.0481636419670565,0.0170408603665192,-0.022197993650219,0.355416371204908
"callwait",0.775128237010274,-0.00348794498249373,0.0237870496686358,0.00339679148745234,-0.00232825255963993,0.0982543569752044,0.0240281450941135,0.0351932128565346,-0.00366077353649925
"tollmon",0.768828584575435,-0.0692680604513305,0.118424730513708,-0.00354546684301209,0.128373009799324,0.0544165581000083,0.0327073771847401,0.0716091764793395,0.435996261069234
"callid",0.763460312815268,0.0265186703253058,0.0283133082629164,0.0214366258454177,-0.0606556490543207,0.118327253856514,0.0539172494793333,0.061680602308982,-0.0420837302891584
"forward",0.750434667067054,0.032775737616822,0.0349127543975704,0.0289430240393718,-0.0242792364616371,0.13453076546,0.00886095164881559,0.046332066748652,-0.056870776178315
"confer",0.716038048085283,0.0183584621312173,0.0731607960628778,-0.0167997714156038,0.0205884142150462,0.11930576552085,0.0207634357441879,0.076270834812606,-0.0290905181311217
"pager",0.504883272073795,0.435060573032524,-0.0597101561740349,0.032240023661124,0.0441611370922485,0.0274904998814339,0.0378929003707669,0.323086238464502,-0.0283142678363337
"voice",0.464535730982277,0.417241419779589,-0.0502712766308092,0.0116242916452035,0.0289643091235698,0.0758409953076699,0.0609677741894687,0.29129696379654,-0.0884305416883675
"equip",-0.013704723327003,0.967392363993543,-0.0646093979336248,0.0190922683276293,-0.0270671077274593,0.00636299007504497,-0.0511234529340121,-0.126363668899528,0.0950139232961412
"equipmon",0.108732270516552,0.964234312283256,-0.0409050863325861,0.0158163103926007,0.0439726147516615,0.0658723848075597,-0.0445173565865176,0.028152325749485,0.0874273886966828
"internet",0.0359841763384171,0.639772000501247,-0.085734777996491,0.0444477473565603,-0.0104997680480234,-0.0320763265840349,-0.0133795558486611,0.0993801665822362,-0.0697654598154127
"ebill",-0.0264452504387276,0.602393460324659,-0.0817679208468104,-0.0341939161720443,-0.0147560352795221,-0.0794177467830948,-0.034068924132729,0.0987634882964534,-0.0611662925152871
"ed",0.045803961450204,0.482431584113273,-0.140873773686071,0.0145983960699237,0.0421461433672901,-0.0797837958613544,0.119381462025995,0.100064007910612,-0.0593520880976508
"age",0.0493400485228041,-0.0985803165228373,0.938636355713426,-0.0589883497453675,0.0363999673652773,0.118429771591959,0.165177941368,0.0286629565107301,-0.016948876037674
"address",0.0342934042176103,-0.10776716235983,0.64111228985832,-0.0641698137748219,0.250021748816014,0.144469375008932,0.0823977271456212,-0.0169299922073178,0.00167897698634655
"employ",0.123883880484346,-0.156683637234867,0.592473176195946,-0.0632609371826526,0.22400941420896,0.149759414483788,0.38358377008002,-0.0282510985991221,0.0396302982439835
"retire",0.0317701808491119,-0.0894868736623359,0.471828708353333,-0.0941590791443038,0.0117273913940139,0.00756751071966909,-0.177834631396063,-0.00932546300166124,0.0127583594736599
"marital",0.0165101300308292,-0.0188122642281979,0.0304591008175869,0.987165891941698,0.0784402286555976,0.0564982315060667,0.0211954142725887,0.0346433889371958,0.0891919263360823
"reside",0.0527692953707519,-0.0152570470635538,-0.233240957351069,0.631736971529211,0.0404532611021897,-0.00145416723239957,-0.019301332443716,0.0344254850584039,0.0496073100442455
"region",0.00422733691992286,-0.0182923094356693,0.00567981150358558,-0.088583549980324,0.00189053046642443,0.00427053030989365,0.0153619605965686,0.0131920251908287,0.0559669541695677
"tenure",0.0436411591856038,-0.113650521809556,0.424489612871688,0.0564982594199773,0.698247470310463,0.375061165956699,0.0771363682445871,-0.005075330193403,0.05772237352707
"longmon",0.0554252879113597,-0.0888204691112242,0.363504174681245,0.0473595870390579,0.610768631201815,0.281088720889431,0.0488029744938833,-0.0545041368932176,0.0723601051974507
"multline",0.0858076901871429,0.344041097196612,0.132714386308024,0.0637920991790073,0.551699639804992,0.027706350831753,-0.00536191533365491,0.0307708124676364,-0.178951229896206
"gender",-0.0126168714993964,0.00099495659519658,-0.0130787102604882,0.00335800617044247,0.0519613192570101,-0.0139601455837633,0.0381862394180648,0.016672227291062,0.0108211014289245
"callcard",0.378347338397732,-0.0610829764212521,0.167177240336277,-0.00728315037723234,0.120814755160992,0.744952907904811,0.0112483442919186,0.0395132413068635,-0.0125050128111605
"cardmon",0.281098616569232,-0.0371325435121827,0.198343454133596,0.0360035430496598,0.151669277280691,0.666560476356391,0.0109453459590903,0.0624393079084818,0.0205576440561099
"income",0.136907452359317,0.0297478675457938,0.161309842837592,-0.0842959420244638,0.126598438314514,0.0371322953386398,0.961679994670474,-0.00174780302927059,0.0029653566370687
"wiremon",0.484620104481544,0.489216734049224,0.0203632736399091,0.00362197769389949,0.124349216827963,0.101452365908513,0.0268958166561079,0.698881124630579,0.074030490459178
"wireless",0.485378014670623,0.481355524658215,-0.0177144714799253,0.00494835933615924,0.00945484671015476,0.101149112057558,0.0126726049320135,0.604458001305989,0.0196570315671586
